,lat,lon,average_temp,min_daily_temp,hrs_below_freezing,day_below_freezing
0,25.0,-125.0,294.84583,294.83963,0,0
1,25.0,-124.375,294.67786,294.67432,0,0
2,25.0,-123.75,294.51868,294.5115,0,0
3,25.0,-123.125,294.58313,294.574,0,0
4,25.0,-122.5,294.8429,294.83557,0,0
5,25.0,-121.875,294.90247,294.89847,0,0
6,25.0,-121.25,294.82434,294.81995,0,0
7,25.0,-120.625,294.30676,294.3041,0,0
8,25.0,-120.0,294.26575,294.2537,0,0
9,25.0,-119.375,294.46106,294.449,0,0
10,25.0,-118.75,294.4679,294.45398,0,0
11,25.0,-118.125,294.69934,294.68338,0,0
12,25.0,-117.5,294.54602,294.52713,0,0
13,25.0,-116.875,294.2882,294.2743,0,0
14,25.0,-116.25,294.39954,294.39148,0,0
15,25.0,-115.625,294.2091,294.20398,0,0
16,25.0,-115.0,294.40247,294.3787,0,0
17,25.0,-114.375,295.37512,295.36307,0,0
18,25.5,-125.0,294.5968,294.58182,0,0
19,25.5,-124.375,294.49915,294.49588,0,0
20,25.5,-123.75,294.33118,294.324,0,0
21,25.5,-123.125,294.3595,294.34744,0,0
22,25.5,-122.5,294.4884,294.484,0,0
23,25.5,-121.875,294.5841,294.57898,0,0
24,25.5,-121.25,294.40637,294.40213,0,0
25,25.5,-120.625,293.85266,293.8446,0,0
26,25.5,-120.0,293.47864,293.46463,0,0
27,25.5,-119.375,293.6388,293.62088,0,0
28,25.5,-118.75,293.81653,293.80554,0,0
29,25.5,-118.125,294.22668,294.21463,0,0
30,25.5,-117.5,294.40344,294.3865,0,0
31,25.5,-116.875,294.14856,294.1365,0,0
32,25.5,-116.25,293.9972,293.98807,0,0
33,25.5,-115.625,293.8097,293.80057,0,0
34,25.5,-115.0,294.1261,294.10526,0,0
35,25.5,-114.375,294.41125,294.39432,0,0
36,26.0,-125.0,294.34778,294.324,0,0
37,26.0,-124.375,294.0968,294.0868,0,0
38,26.0,-123.75,293.85852,293.8512,0,0
39,26.0,-123.125,293.70715,293.6912,0,0
40,26.0,-122.5,293.797,293.79276,0,0
41,26.0,-121.875,294.1222,294.11804,0,0
42,26.0,-121.25,294.1681,294.1637,0,0
43,26.0,-120.625,293.56848,293.55838,0,0
44,26.0,-120.0,293.31555,293.30057,0,0
45,26.0,-119.375,293.44348,293.42557,0,0
46,26.0,-118.75,293.46497,293.449,0,0
47,26.0,-118.125,293.66125,293.65213,0,0
48,26.0,-117.5,294.0177,294.0115,0,0
49,26.0,-116.875,294.10266,294.0946,0,0
50,26.0,-116.25,293.89172,293.8865,0,0
51,26.0,-115.625,293.62512,293.61307,0,0
52,26.0,-115.0,293.6671,293.65213,0,0
53,26.0,-114.375,293.72668,293.71463,0,0
54,26.5,-125.0,294.23157,294.20682,0,0
55,26.5,-124.375,293.8507,293.824,0,0
56,26.5,-123.75,293.56946,293.55838,0,0
57,26.5,-123.125,293.38684,293.37088,0,0
58,26.5,-122.5,293.2804,293.27307,0,0
59,26.5,-121.875,293.63782,293.63367,0,0
60,26.5,-121.25,294.06848,294.06335,0,0
61,26.5,-120.625,293.4171,293.40213,0,0
62,26.5,-120.0,293.07434,293.05057,0,0
63,26.5,-119.375,293.1515,293.1287,0,0
64,26.5,-118.75,293.22668,293.21463,0,0
65,26.5,-118.125,293.2384,293.23026,0,0
66,26.5,-117.5,293.46204,293.46008,0,0
67,26.5,-116.875,293.80676,293.80057,0,0
68,26.5,-116.25,293.66516,293.65213,0,0
69,26.5,-115.625,293.33313,293.30057,0,0
70,26.5,-115.0,292.84778,292.824,0,0
71,26.5,-114.375,293.18372,293.12088,0,0
72,27.0,-125.0,294.16125,294.14432,0,0
73,27.0,-124.375,293.8175,293.80057,0,0
74,27.0,-123.75,293.32336,293.30838,0,0
75,27.0,-123.125,293.05774,293.04773,0,0
76,27.0,-122.5,293.04114,293.03494,0,0
77,27.0,-121.875,293.2716,293.26648,0,0
78,27.0,-121.25,293.83606,293.8162,0,0
79,27.0,-120.625,293.3683,293.34744,0,0
80,27.0,-120.0,292.7843,292.7615,0,0
81,27.0,-119.375,292.83508,292.80838,0,0
82,27.0,-118.75,292.72375,292.7118,0,0
83,27.0,-118.125,292.76477,292.75867,0,0
84,27.0,-117.5,293.06165,293.05554,0,0
85,27.0,-116.875,293.2345,293.22244,0,0
86,27.0,-116.25,292.80188,292.78494,0,0
87,27.0,-115.625,292.71692,292.68338,0,0
88,27.0,-115.0,292.3683,292.2537,0,0
89,27.0,-114.375,294.37903,292.74588,0,0
90,27.5,-125.0,294.00305,293.99304,0,0
91,27.5,-124.375,293.7013,293.68835,0,0
92,27.5,-123.75,293.08704,293.07898,0,0
93,27.5,-123.125,292.90442,292.90088,0,0
94,27.5,-122.5,293.02454,293.0115,0,0
95,27.5,-121.875,293.16614,293.15994,0,0
96,27.5,-121.25,293.422,293.40994,0,0
97,27.5,-120.625,293.33313,293.3162,0,0
98,27.5,-120.0,292.7765,292.7615,0,0
99,27.5,-119.375,292.75305,292.73807,0,0
100,27.5,-118.75,292.66223,292.6571,0,0
101,27.5,-118.125,292.29114,292.28494,0,0
102,27.5,-117.5,292.57727,292.56335,0,0
103,27.5,-116.875,292.86047,292.83963,0,0
104,27.5,-116.25,292.04114,292.0115,0,0
105,27.5,-115.625,291.62024,291.60526,0,0
106,27.5,-115.0,293.047,292.18338,0,0
107,27.5,-114.375,296.31653,293.11307,0,0
108,28.0,-125.0,293.70325,293.6912,0,0
109,28.0,-124.375,293.66223,293.65213,0,0
110,28.0,-123.75,293.005,292.99588,0,0
111,28.0,-123.125,292.8341,292.82898,0,0
112,28.0,-122.5,292.8683,292.86023,0,0
113,28.0,-121.875,292.9347,292.92273,0,0
114,28.0,-121.25,292.8849,292.86307,0,0
115,28.0,-120.625,292.90735,292.8865,0,0
116,28.0,-120.0,292.92493,292.90994,0,0
117,28.0,-119.375,292.90344,292.8865,0,0
118,28.0,-118.75,292.78723,292.7837,0,0
119,28.0,-118.125,292.1173,292.11307,0,0
120,28.0,-117.5,292.20422,292.18835,0,0
121,28.0,-116.875,292.52356,292.5037,0,0
122,28.0,-116.25,292.1466,292.11307,0,0
123,28.0,-115.625,291.38293,291.35526,0,0
124,28.0,-115.0,293.06165,292.37088,0,0
125,28.0,-114.375,294.33704,292.62088,0,0
126,28.5,-125.0,293.14075,293.12088,0,0
127,28.5,-124.375,293.213,293.20682,0,0
128,28.5,-123.75,292.86926,292.86307,0,0
129,28.5,-123.125,292.71497,292.70398,0,0
130,28.5,-122.5,292.60168,292.58963,0,0
131,28.5,-121.875,292.40637,292.3865,0,0
132,28.5,-121.25,292.39465,292.36307,0,0
133,28.5,-120.625,292.36536,292.33182,0,0
134,28.5,-120.0,292.63196,292.60526,0,0
135,28.5,-119.375,292.9806,292.96463,0,0
136,28.5,-118.75,292.66418,292.65994,0,0
137,28.5,-118.125,291.95813,291.949,0,0
138,28.5,-117.5,291.9923,291.98026,0,0
139,28.5,-116.875,292.37512,292.35526,0,0
140,28.5,-116.25,292.10852,292.08963,0,0
141,28.5,-115.625,291.37903,291.35526,0,0
142,28.5,-115.0,291.79895,291.59744,0,0
143,28.5,-114.375,292.80872,291.6912,0,0
144,29.0,-125.0,292.51965,292.5037,0,0
145,29.0,-124.375,292.54407,292.52713,0,0
146,29.0,-123.75,292.52454,292.52258,0,0
147,29.0,-123.125,292.4591,292.449,0,0
148,29.0,-122.5,292.4181,292.40213,0,0
149,29.0,-121.875,292.27063,292.2537,0,0
150,29.0,-121.25,292.1173,292.08182,0,0
151,29.0,-120.625,292.11145,292.0662,0,0
152,29.0,-120.0,292.44543,292.40994,0,0
153,29.0,-119.375,292.66907,292.65213,0,0
154,29.0,-118.75,292.22473,292.1365,0,0
155,29.0,-118.125,293.339,292.2537,0,0
156,29.0,-117.5,291.85754,291.8446,0,0
157,29.0,-116.875,292.255,292.24588,0,0
158,29.0,-116.25,291.97668,291.97244,0,0
159,29.0,-115.625,290.76575,290.7537,0,0
160,29.0,-115.0,291.0265,290.65994,0,0
161,29.0,-114.375,292.8673,290.62088,0,0
162,29.5,-125.0,292.22668,292.21463,0,0
163,29.5,-124.375,292.07336,292.05057,0,0
164,29.5,-123.75,292.0968,292.08963,0,0
165,29.5,-123.125,291.97668,291.97244,0,0
166,29.5,-122.5,291.92493,291.91776,0,0
167,29.5,-121.875,291.9464,291.94446,0,0
168,29.5,-121.25,291.77747,291.73807,0,0
169,29.5,-120.625,291.76184,291.71463,0,0
170,29.5,-120.0,291.92688,291.90213,0,0
171,29.5,-119.375,291.81262,291.80838,0,0
172,29.5,-118.75,291.60657,291.59744,0,0
173,29.5,-118.125,292.32043,291.97244,0,0
174,29.5,-117.5,292.01184,291.99588,0,0
175,29.5,-116.875,292.22668,292.22244,0,0
176,29.5,-116.25,291.422,291.41776,0,0
177,29.5,-115.625,291.08606,290.15994,0,0
178,29.5,-115.0,292.43372,289.6912,0,0
179,29.5,-114.375,291.77454,289.60526,0,0
180,30.0,-125.0,292.047,292.03494,0,0
181,30.0,-124.375,291.7423,291.73026,0,0
182,30.0,-123.75,291.7052,291.6912,0,0
183,30.0,-123.125,291.52747,291.51932,0,0
184,30.0,-122.5,291.2423,291.23026,0,0
185,30.0,-121.875,291.06165,291.05057,0,0
186,30.0,-121.25,291.14075,291.12088,0,0
187,30.0,-120.625,291.21106,291.18338,0,0
188,30.0,-120.0,291.29407,291.27713,0,0
189,30.0,-119.375,291.1466,291.14148,0,0
190,30.0,-118.75,290.95422,290.94617,0,0
191,30.0,-118.125,291.43372,291.40994,0,0
192,30.0,-117.5,292.05774,292.04276,0,0
193,30.0,-116.875,292.2589,292.25696,0,0
194,30.0,-116.25,291.21204,291.01932,0,0
195,30.0,-115.625,294.04016,289.78494,0,0
196,30.0,-115.0,290.09192,286.7537,0,0
197,30.0,-114.375,293.1261,291.97244,0,0
198,30.5,-125.0,291.94153,291.92557,0,0
199,30.5,-124.375,291.78918,291.78494,0,0
200,30.5,-123.75,291.71106,291.70682,0,0
201,30.5,-123.125,291.38684,291.3787,0,0
202,30.5,-122.5,290.89075,290.8787,0,0
203,30.5,-121.875,290.64075,290.6365,0,0
204,30.5,-121.25,290.52747,290.5115,0,0
205,30.5,-120.625,290.31262,290.30838,0,0
206,30.5,-120.0,290.62903,290.62088,0,0
