,lat,lon,average_temp,average_min_daily_temp,min_min_daily_temp
0,25.0,-125.0,294.20328,294.18582,293.54968
1,25.0,-124.375,294.12344,294.1067,293.59656
2,25.0,-123.75,293.98694,293.97174,293.41687
3,25.0,-123.125,293.98233,293.97018,293.34656
4,25.0,-122.5,294.0926,294.08014,293.40125
5,25.0,-121.875,294.13474,294.12115,293.3153
6,25.0,-121.25,293.94873,293.93274,292.90125
7,25.0,-120.625,293.5696,293.55453,292.72937
8,25.0,-120.0,293.47412,293.45715,292.77625
9,25.0,-119.375,293.61377,293.59604,292.83093
10,25.0,-118.75,293.77722,293.7568,292.8153
11,25.0,-118.125,293.84137,293.8218,292.88562
12,25.0,-117.5,293.73148,293.71274,292.77625
13,25.0,-116.875,293.61816,293.5992,292.6112
14,25.0,-116.25,293.48956,293.47028,292.5702
15,25.0,-115.625,293.2911,293.27057,292.40027
16,25.0,-115.0,293.5009,293.47998,292.3778
17,25.0,-114.375,294.08032,294.06027,292.5575
18,25.0,-113.75,294.53928,294.51776,292.63922
19,25.0,-113.125,295.00723,294.98907,293.60876
20,25.0,-112.5,296.1056,294.73712,293.62814
21,25.0,-111.875,301.20395,290.79584,287.55783
22,25.0,-111.25,302.18643,291.61288,287.23752
23,25.0,-110.625,297.43304,294.3513,292.09656
24,25.0,-110.0,294.5008,294.45108,292.75314
25,25.0,-109.375,294.43307,294.38885,292.80002
26,25.0,-108.75,294.68335,293.7089,292.07346
27,25.0,-108.125,298.8963,293.65347,291.01843
28,25.0,-107.5,302.63947,294.63608,288.59656
29,25.0,-106.875,298.83444,291.85394,284.63953
30,25.0,-106.25,290.2115,282.834,274.84885
31,25.0,-105.625,289.152,281.38196,273.60568
32,25.0,-105.0,293.53082,283.95615,276.77658
33,25.0,-104.375,295.41748,285.2619,277.98166
34,25.0,-103.75,296.75928,286.64615,278.75314
35,25.0,-103.125,296.99695,287.5146,279.07346
36,25.0,-102.5,297.04355,287.73486,278.64767
37,25.0,-101.875,294.67047,281.61075,274.9828
38,25.0,-101.25,293.42834,280.7829,274.7621
39,25.0,-100.625,292.33765,280.61578,275.41565
40,25.0,-100.0,294.44382,284.0667,279.0362
41,25.0,-99.375,297.66806,287.5725,282.13733
42,25.0,-98.75,297.84238,288.0715,282.41315
43,25.0,-98.125,297.50656,288.37366,282.97565
44,25.0,-97.5,295.7457,294.354,292.32385
45,25.0,-96.875,296.71744,296.697,296.0689
46,25.0,-96.25,297.94504,297.93018,297.00818
47,25.0,-95.625,298.04385,298.02872,297.26166
48,25.0,-95.0,297.91705,297.89975,297.27985
49,25.0,-94.375,297.82904,297.81186,297.26096
50,25.0,-93.75,297.77054,297.755,297.13922
51,25.0,-93.125,297.79626,297.77856,296.4827
52,25.0,-92.5,297.763,297.74567,296.17047
53,25.0,-91.875,297.43716,297.4191,296.45172
54,25.0,-91.25,297.36472,297.3476,296.56918
55,25.0,-90.625,297.56946,297.5538,296.5145
56,25.0,-90.0,297.79404,297.77594,296.58942
57,25.0,-89.375,297.8722,297.854,296.766
58,25.0,-88.75,298.00262,297.9865,297.19244
59,25.0,-88.125,298.91913,298.89377,298.12125
60,25.0,-87.5,299.8157,299.79132,298.98062
61,25.0,-86.875,300.19766,300.18005,299.59412
62,25.0,-86.25,300.15604,300.14175,299.47693
63,25.0,-85.625,299.89352,299.8804,299.21735
64,25.0,-85.0,299.0545,299.0318,298.06433
65,25.0,-84.375,298.0632,298.0422,297.04126
66,25.0,-83.75,297.9392,297.924,296.83014
67,25.0,-83.125,297.57498,297.55615,296.28326
68,25.0,-82.5,296.71555,296.68912,295.23422
69,25.0,-81.875,295.83813,295.68362,294.05658
70,25.0,-81.25,295.39767,294.90787,292.8332
71,25.0,-80.625,297.19104,296.6609,294.92694
72,25.0,-80.0,299.1334,299.05295,298.35358
73,25.0,-79.375,298.63596,298.61444,297.8145
74,25.0,-78.75,296.1431,296.0633,294.6972
75,25.0,-78.125,297.84537,296.71237,295.0648
76,25.0,-77.5,298.78564,298.52478,297.67407
77,25.0,-76.875,298.09042,298.01144,297.09595
78,25.0,-76.25,298.8772,298.5081,297.7444
79,25.0,-75.625,299.3274,299.16898,298.5022
80,25.0,-75.0,299.56778,299.55493,298.88135
81,25.0,-74.375,299.67685,299.66403,298.76746
82,25.0,-73.75,299.46005,299.4494,298.4862
83,25.0,-73.125,299.2576,299.24493,298.5157
84,25.0,-72.5,299.1577,299.14432,298.75385
85,25.0,-71.875,299.24185,299.22897,298.7362
86,25.0,-71.25,299.3349,299.3245,298.62683
87,25.0,-70.625,299.31442,299.30215,298.58197
88,25.0,-70.0,299.20984,299.19617,298.61322
89,25.0,-69.375,299.18265,299.16785,298.73822
90,25.0,-68.75,299.3199,299.30792,299.03943
91,25.0,-68.125,299.5277,299.51324,298.87683
92,25.0,-67.5,299.28345,299.27106,298.26947
93,25.0,-66.875,298.9021,298.8892,298.19135
94,25.5,-125.0,293.86618,293.85062,293.14343
95,25.5,-124.375,293.8959,293.87927,293.3307
96,25.5,-123.75,293.84644,293.82986,293.22937
97,25.5,-123.125,293.76395,293.75015,293.04187
98,25.5,-122.5,293.74396,293.73038,292.95593
99,25.5,-121.875,293.78693,293.77094,292.6903
100,25.5,-121.25,293.46237,293.4441,292.01843
101,25.5,-120.625,292.98392,292.9661,291.83875
102,25.5,-120.0,292.72797,292.71094,291.87
103,25.5,-119.375,292.87225,292.85495,292.12
104,25.5,-118.75,293.2584,293.2381,292.39343
105,25.5,-118.125,293.6412,293.62363,292.72937
106,25.5,-117.5,293.60645,293.5877,292.72937
107,25.5,-116.875,293.4628,293.44418,292.6869
108,25.5,-116.25,293.3126,293.291,292.5656
109,25.5,-115.625,292.9116,292.8871,291.84656
110,25.5,-115.0,292.96487,292.94205,291.73718
111,25.5,-114.375,293.36102,293.3435,292.08533
112,25.5,-113.75,293.81067,293.79236,292.53845
113,25.5,-113.125,294.34396,294.32474,293.15564
114,25.5,-112.5,294.81454,294.22427,293.30002
115,25.5,-111.875,300.96158,290.75854,287.5969
116,25.5,-111.25,299.7521,291.81348,289.24533
117,25.5,-110.625,295.09055,294.43094,292.13596
118,25.5,-110.0,294.0523,293.97974,292.01096
119,25.5,-109.375,296.1579,293.6091,291.77658
120,25.5,-108.75,299.24924,293.28577,290.46408
121,25.5,-108.125,302.21445,294.15448,289.41687
122,25.5,-107.5,299.9708,292.52582,284.61252
123,25.5,-106.875,291.80194,285.69052,277.14767
124,25.5,-106.25,287.52563,280.55072,273.06076
125,25.5,-105.625,290.58597,281.74136,274.66135
126,25.5,-105.0,294.26047,284.0762,276.66525
127,25.5,-104.375,295.55078,285.25684,277.384
128,25.5,-103.75,296.14508,286.34372,278.47385
129,25.5,-103.125,296.23123,286.74664,278.46603
130,25.5,-102.5,295.9362,286.9323,278.32346
131,25.5,-101.875,294.362,281.2878,275.13318
132,25.5,-101.25,294.96127,282.27377,275.4906
133,25.5,-100.625,294.24765,282.46283,275.9325
134,25.5,-100.0,296.25684,285.5853,279.98694
135,25.5,-99.375,297.36786,287.2808,282.28577
136,25.5,-98.75,297.474,287.58435,282.02252
137,25.5,-98.125,297.17676,288.14395,282.06604
138,25.5,-97.5,296.34995,291.78345,286.81332
139,25.5,-96.875,295.61206,295.5052,295.01096
140,25.5,-96.25,297.2068,297.18958,296.30505
141,25.5,-95.625,297.5634,297.5462,296.7486
142,25.5,-95.0,297.5157,297.49728,296.8111
143,25.5,-94.375,297.55426,297.53683,296.9784
144,25.5,-93.75,297.61,297.59488,296.80853
145,25.5,-93.125,297.62274,297.60498,296.09235
146,25.5,-92.5,297.3849,297.36646,295.88922
147,25.5,-91.875,296.96948,296.9499,295.9986
148,25.5,-91.25,296.97888,296.95978,296.0223
149,25.5,-90.625,297.1517,297.1335,296.07257
150,25.5,-90.0,297.3388,297.3188,296.19336
151,25.5,-89.375,297.3866,297.36523,296.32068
152,25.5,-88.75,297.5608,297.54327,296.68976
153,25.5,-88.125,298.55127,298.52103,297.78912
154,25.5,-87.5,299.5337,299.5116,298.6485
155,25.5,-86.875,299.90762,299.8874,299.5848
156,25.5,-86.25,299.8731,299.85614,299.42075
157,25.5,-85.625,299.2735,299.25253,298.4048
158,25.5,-85.0,298.2347,298.21274,296.88483
159,25.5,-84.375,297.7027,297.687,296.5645
160,25.5,-83.75,297.7252,297.7099,296.6192
161,25.5,-83.125,297.41113,297.3937,296.22095
162,25.5,-82.5,296.48386,296.4593,294.97076
163,25.5,-81.875,295.11676,294.95416,293.2082
164,25.5,-81.25,294.8618,292.9885,288.9083
165,25.5,-80.625,295.4365,294.49802,291.2713
166,25.5,-80.0,298.33066,297.98422,296.76767
167,25.5,-79.375,298.377,298.3546,297.52533
168,25.5,-78.75,296.5482,296.5061,295.33002
169,25.5,-78.125,298.04565,297.78293,296.92407
170,25.5,-77.5,298.81348,298.72232,297.9735
171,25.5,-76.875,298.69974,298.61542,297.98132
172,25.5,-76.25,298.8402,298.76312,298.19226
173,25.5,-75.625,299.24664,299.23492,298.51947
174,25.5,-75.0,299.57028,299.55698,298.6532
175,25.5,-74.375,299.59,299.5752,298.5204
176,25.5,-73.75,299.42532,299.4122,298.31726
177,25.5,-73.125,299.26566,299.25348,298.51947
178,25.5,-72.5,299.16443,299.1529,298.78436
179,25.5,-71.875,299.2392,299.22684,298.67572
180,25.5,-71.25,299.3071,299.29456,298.45496
181,25.5,-70.625,299.26407,299.25232,298.31433
182,25.5,-70.0,299.2125,299.20108,298.50385
183,25.5,-69.375,299.16043,299.1473,298.4101
184,25.5,-68.75,299.14856,299.13583,298.72968
185,25.5,-68.125,299.18137,299.16675,298.64447
186,25.5,-67.5,298.9418,298.92896,298.18756
187,25.5,-66.875,298.7237,298.71002,298.04382
188,26.0,-125.0,293.59244,293.5765,292.83875
189,26.0,-124.375,293.4724,293.45673,292.90906
190,26.0,-123.75,293.38937,293.3728,292.80554
191,26.0,-123.125,293.2871,293.27344,292.72742
192,26.0,-122.5,293.25192,293.23932,292.6278
193,26.0,-121.875,293.3579,293.34232,292.2528
194,26.0,-121.25,293.0513,293.03244,291.6278
195,26.0,-120.625,292.66046,292.64456,291.91687
196,26.0,-120.0,292.6821,292.66705,291.92468
197,26.0,-119.375,292.69675,292.6793,291.76843
198,26.0,-118.75,292.80435,292.785,291.90125
199,26.0,-118.125,293.30933,293.28897,292.5028
200,26.0,-117.5,293.45972,293.44025,292.66718
201,26.0,-116.875,293.41318,293.39215,292.62885
202,26.0,-116.25,293.0919,293.06998,292.04187
203,26.0,-115.625,292.46066,292.43463,291.15485
204,26.0,-115.0,292.63705,292.61572,291.52655
205,26.0,-114.375,293.04776,293.0328,292.08093
206,26.0,-113.75,293.36884,293.35165,292.59314
207,26.0,-113.125,294.04202,293.5766,292.77658
208,26.0,-112.5,295.43707,292.7593,291.55783
209,26.0,-111.875,299.97717,289.45752,286.6672
210,26.0,-111.25,296.7188,292.7316,291.12033
211,26.0,-110.625,293.51016,293.4536,291.61252
212,26.0,-110.0,293.47403,293.36044,291.25314
213,26.0,-109.375,296.8142,292.6716,290.30783
214,26.0,-108.75,301.89835,293.05618,289.1047
215,26.0,-108.125,301.3909,292.6338,286.37814
216,26.0,-107.5,294.80905,287.85672,278.92502
217,26.0,-106.875,288.0162,281.6591,273.1877
218,26.0,-106.25,286.8468,279.66318,272.50314
219,26.0,-105.625,292.40485,282.5956,275.44846
220,26.0,-105.0,293.86978,283.79636,275.55588
221,26.0,-104.375,294.78952,284.90787,276.58908
222,26.0,-103.75,295.47076,285.96954,278.15353
223,26.0,-103.125,295.18146,285.70947,278.48557
224,26.0,-102.5,294.0152,285.97504,279.12424
225,26.0,-101.875,293.54987,280.78372,275.05618
226,26.0,-101.25,295.10355,282.57254,276.10315
227,26.0,-100.625,296.5139,284.963,278.66663
228,26.0,-100.0,296.00372,285.60117,280.4613
229,26.0,-99.375,296.39163,286.55637,280.66833
230,26.0,-98.75,296.79688,287.0895,281.734
231,26.0,-98.125,296.6743,287.80664,281.34338
232,26.0,-97.5,296.885,289.9771,282.2887
233,26.0,-96.875,294.90787,294.59033,293.64417
234,26.0,-96.25,296.63083,296.61075,295.68005
235,26.0,-95.625,297.1579,297.14142,296.17047
236,26.0,-95.0,297.2705,297.2529,296.26422
237,26.0,-94.375,297.397,297.37988,296.52985
238,26.0,-93.75,297.45337,297.4373,296.38922
239,26.0,-93.125,297.47293,297.4534,295.95172
240,26.0,-92.5,297.08084,297.06232,295.9361
241,26.0,-91.875,296.77426,296.75534,295.8814
242,26.0,-91.25,296.75702,296.73883,295.7834
243,26.0,-90.625,296.79227,296.77304,295.75226
244,26.0,-90.0,296.8755,296.8559,295.82617
245,26.0,-89.375,296.87314,296.8518,295.80695
246,26.0,-88.75,297.07886,297.0628,296.10333
247,26.0,-88.125,298.0319,298.0078,297.38797
248,26.0,-87.5,298.93457,298.9102,297.961
249,26.0,-86.875,299.1746,299.15247,298.63757
250,26.0,-86.25,299.02298,299.0034,298.59045
251,26.0,-85.625,298.32938,298.30392,297.2793
252,26.0,-85.0,297.66785,297.64877,296.28326
253,26.0,-84.375,297.4959,297.47995,296.16608
254,26.0,-83.75,297.466,297.4507,296.3067
255,26.0,-83.125,296.87592,296.8568,295.53326
